2008-01-02,stock,CI005320.WI
2008-01-02,stock,CI005321.WI
2008-01-02,stock,CI005322.WI
2008-01-02,stock,CI005323.WI
2008-01-02,stock,CI005324.WI
2008-01-02,stock,CI005325.WI
2008-01-02,stock,CI005326.WI
2008-01-02,stock,CI005327.WI
2008-01-02,stock,CI005328.WI
2008-01-02,stock,CI005329.WI
2008-01-02,stock,CI005330.WI
2008-01-02,stock,CI005331.WI
2008-01-02,stock,CI005332.WI
2008-01-02,stock,CI005333.WI
2008-01-02,stock,CI005334.WI
2008-01-02,stock,CI005335.WI
2008-01-02,stock,CI005336.WI
2008-01-02,stock,CI005337.WI
2008-01-02,stock,CI005338.WI
2008-01-02,stock,CI005339.WI
2008-01-02,stock,CI005340.WI
2008-01-02,stock,CI005341.WI
2008-01-02,stock,CI005342.WI
2008-01-02,stock,CI005343.WI
2008-01-02,stock,CI005344.WI
2008-01-02,stock,CI005345.WI
2008-01-02,stock,CI005346.WI
2008-01-02,stock,CI005347.WI
2008-01-02,stock,CI005348.WI
2008-01-02,stock,CI005349.WI
2008-01-02,stock,CI005350.WI
2008-01-02,stock,CI005351.WI
2008-01-02,stock,CI005352.WI
2008-01-02,stock,CI005353.WI
2008-01-02,stock,CI005354.WI
2008-01-02,stock,CI005355.WI
2008-01-02,stock,CI005356.WI
2008-01-02,stock,CI005357.WI
2008-01-02,stock,CI005358.WI
2008-01-02,stock,CI005359.WI
2008-01-02,stock,CI005360.WI
2008-01-02,stock,CI005361.WI
2008-01-02,stock,CI005362.WI
2008-01-02,stock,CI005363.WI
2008-01-02,stock,CI005364.WI
2008-01-02,stock,CI005366.WI
2008-01-02,stock,CI005367.WI
2008-01-02,stock,CI005368.WI
2008-01-02,stock,CI005369.WI
2008-01-02,stock,CI005370.WI
2008-01-02,stock,CI005371.WI
2008-01-02,stock,CI005372.WI
2008-01-02,stock,CI005373.WI
2008-01-02,stock,CI005374.WI
2008-01-02,stock,CI005375.WI
2008-01-02,stock,CI005376.WI
2008-01-02,stock,CI005377.WI
2008-01-02,stock,CI005378.WI
2008-01-02,stock,CI005379.WI
2008-01-02,stock,CI005380.WI
2008-01-02,stock,CI005381.WI
2008-01-02,stock,CI005382.WI
2008-01-02,stock,CI005383.WI
2008-01-02,stock,CI005384.WI
2008-01-02,stock,CI005385.WI
2008-01-02,stock,CI005386.WI
2008-01-02,stock,CI005387.WI
2008-01-02,stock,CI005388.WI
2008-01-02,stock,CI005389.WI
2008-01-02,stock,CI005390.WI
2008-01-02,stock,CI005391.WI
2008-01-02,stock,CI005392.WI
2008-01-02,stock,CI005393.WI
2008-01-02,stock,CI005394.WI
2008-01-02,stock,CI005395.WI
2008-01-02,stock,000858.SH
2008-01-02,stock,000942.CSI
2008-01-02,stock,H11025.CSI
2008-01-02,stock,000001.SZ
2008-01-02,factor_value,2387800000.0
2008-01-02,stock,000002.SZ
2008-01-02,factor_value,4570430000.0
2008-01-02,stock,000004.SZ
2008-01-02,stock,000005.SZ
2008-01-02,stock,000006.SZ
2008-01-02,stock,000007.SZ
2008-01-02,stock,000008.SZ
2008-01-02,stock,000009.SZ
2008-01-02,stock,000010.SZ
2008-01-02,stock,000011.SZ
2008-01-02,stock,000012.SZ
2008-01-02,factor_value,526806082.0
2008-01-02,stock,000014.SZ
2008-01-02,stock,000016.SZ
2008-01-02,stock,000017.SZ
2008-01-02,stock,000018.SZ
2008-01-02,stock,000019.SZ
2008-01-02,stock,000020.SZ
2008-01-02,stock,000021.SZ
2008-01-02,factor_value,618982040.0
2008-01-02,stock,000022.SZ
2008-01-02,stock,000023.SZ
2008-01-02,stock,000024.SZ
2008-01-02,factor_value,955455623.2
2008-01-02,stock,000025.SZ
2008-01-02,stock,000026.SZ
2008-01-02,stock,000027.SZ
2008-01-02,factor_value,1319920000.0
2008-01-02,stock,000028.SZ
2008-01-02,factor_value,128289459.66635601
2008-01-02,stock,000029.SZ
2008-01-02,stock,000030.SZ
2008-01-02,stock,000031.SZ
2008-01-02,stock,000032.SZ
2008-01-02,stock,000033.SZ
2008-01-02,stock,000034.SZ
2008-01-02,stock,000035.SZ
2008-01-02,stock,000036.SZ
2008-01-02,stock,000037.SZ
2008-01-02,stock,000038.SZ
2008-01-02,stock,000039.SZ
2008-01-02,factor_value,2615523239.7894697
2008-01-02,stock,000040.SZ
2008-01-02,stock,000042.SZ
2008-01-02,stock,000043.SZ
2008-01-02,stock,000045.SZ
2008-01-02,stock,000046.SZ
2008-01-02,stock,000048.SZ
2008-01-02,stock,000049.SZ
2008-01-02,stock,000050.SZ
2008-01-02,factor_value,96655237.12311468
2008-01-02,stock,000055.SZ
2008-01-02,stock,000056.SZ
2008-01-02,stock,000058.SZ
2008-01-02,stock,000059.SZ
2008-01-02,stock,000060.SZ
2008-01-02,factor_value,1323461707.4841402
2008-01-02,stock,000061.SZ
2008-01-02,factor_value,234522986.955152
2008-01-02,stock,000062.SZ
2008-01-02,stock,000063.SZ
2008-01-02,factor_value,1238635232.0
2008-01-02,stock,000065.SZ
2008-01-02,stock,000066.SZ
2008-01-02,stock,000068.SZ
2008-01-02,stock,000069.SZ
2008-01-02,factor_value,778940000.0
2008-01-02,stock,000070.SZ
2008-01-02,stock,000078.SZ
2008-01-02,stock,000088.SZ
2008-01-02,factor_value,648949448.0
2008-01-02,stock,000089.SZ
2008-01-02,factor_value,553684238.0
2008-01-02,stock,000090.SZ
2008-01-02,stock,000096.SZ
2008-01-02,stock,000099.SZ
2008-01-02,stock,000100.SZ
2008-01-02,factor_value,175828856.0
2008-01-02,stock,000150.SZ
2008-01-02,stock,000151.SZ
2008-01-02,stock,000153.SZ
2008-01-02,stock,000155.SZ
2008-01-02,stock,000156.SZ
2008-01-02,stock,000157.SZ
2008-01-02,factor_value,1147380860.0
2008-01-02,stock,000158.SZ
2008-01-02,stock,000159.SZ
2008-01-02,stock,000301.SZ
2008-01-02,stock,000338.SZ
2008-01-02,factor_value,1928370000.0
2008-01-02,stock,000400.SZ
2008-01-02,factor_value,161073271.0
2008-01-02,stock,000401.SZ
2008-01-02,factor_value,421535438.15873
2008-01-02,stock,000402.SZ
2008-01-02,factor_value,743300000.0
2008-01-02,stock,000403.SZ
2008-01-02,stock,000404.SZ
2008-01-02,stock,000407.SZ
2008-01-02,stock,000408.SZ
2008-01-02,stock,000409.SZ
2008-01-02,stock,000410.SZ
2008-01-02,factor_value,174244931.0
2008-01-02,stock,000411.SZ
2008-01-02,stock,000413.SZ
2008-01-02,stock,000415.SZ
2008-01-02,stock,000416.SZ
2008-01-02,stock,000417.SZ
2008-01-02,stock,000418.SZ
2008-01-02,stock,000419.SZ
2008-01-02,stock,000420.SZ
2008-01-02,stock,000421.SZ
2008-01-02,stock,000422.SZ
2008-01-02,stock,000423.SZ
2008-01-02,factor_value,205452551.135135
2008-01-02,stock,000425.SZ
2008-01-02,stock,000426.SZ
2008-01-02,stock,000428.SZ
2008-01-02,stock,000429.SZ
2008-01-02,stock,000430.SZ
2008-01-02,stock,000488.SZ
2008-01-02,factor_value,917839154.033696
2008-01-02,stock,000498.SZ
2008-01-02,stock,000501.SZ
2008-01-02,stock,000502.SZ
2008-01-02,stock,000503.SZ
2008-01-02,stock,000504.SZ
2008-01-02,stock,000505.SZ
2008-01-02,stock,000506.SZ
2008-01-02,stock,000507.SZ
2008-01-02,stock,000509.SZ
2008-01-02,stock,000510.SZ
2008-01-02,stock,000511.SZ
2008-01-02,stock,000513.SZ
2008-01-02,stock,000514.SZ
2008-01-02,stock,000515.SZ
2008-01-02,stock,000516.SZ
2008-01-02,stock,000517.SZ
2008-01-02,stock,000518.SZ
2008-01-02,stock,000519.SZ
2008-01-02,stock,000520.SZ
2008-01-02,stock,000521.SZ
2008-01-02,stock,000522.SZ
2008-01-02,factor_value,141978729.2
2008-01-02,stock,000523.SZ
2008-01-02,stock,000524.SZ
2008-01-02,stock,000525.SZ
2008-01-02,stock,000526.SZ
2008-01-02,stock,000527.SZ
2008-01-02,factor_value,1224537506.2069
2008-01-02,stock,000528.SZ
2008-01-02,factor_value,584599084.2285709
2008-01-02,stock,000529.SZ
2008-01-02,stock,000530.SZ
2008-01-02,stock,000531.SZ
2008-01-02,stock,000532.SZ
2008-01-02,stock,000533.SZ
2008-01-02,stock,000534.SZ
2008-01-02,stock,000536.SZ
2008-01-02,stock,000537.SZ
2008-01-02,stock,000538.SZ
2008-01-02,factor_value,302445516.37333304
2008-01-02,stock,000539.SZ
2008-01-02,factor_value,803506094.0
2008-01-02,stock,000540.SZ
2008-01-02,stock,000541.SZ
2008-01-02,stock,000543.SZ
2008-01-02,stock,000544.SZ
2008-01-02,stock,000545.SZ
2008-01-02,stock,000546.SZ
2008-01-02,stock,000547.SZ
2008-01-02,stock,000548.SZ
2008-01-02,stock,000550.SZ
2008-01-02,factor_value,715730000.0
2008-01-02,stock,000551.SZ
2008-01-02,stock,000552.SZ
2008-01-02,stock,000553.SZ
2008-01-02,stock,000554.SZ
2008-01-02,stock,000555.SZ
2008-01-02,stock,000557.SZ
2008-01-02,stock,000558.SZ
2008-01-02,stock,000559.SZ
2008-01-02,factor_value,304233242.0
2008-01-02,stock,000560.SZ
2008-01-02,stock,000561.SZ
2008-01-02,stock,000562.SZ
2008-01-02,factor_value,2471815634.0
2008-01-02,stock,000563.SZ
2008-01-02,stock,000564.SZ
2008-01-02,stock,000565.SZ
2008-01-02,factor_value,36673932.885517105
2008-01-02,stock,000566.SZ
2008-01-02,stock,000567.SZ
2008-01-02,stock,000568.SZ
2008-01-02,factor_value,800860000.0
2008-01-02,stock,000569.SZ
2008-01-02,stock,000570.SZ
2008-01-02,stock,000571.SZ
2008-01-02,stock,000572.SZ
2008-01-02,stock,000573.SZ
2008-01-02,stock,000576.SZ
2008-01-02,stock,000578.SZ
2008-01-02,stock,000581.SZ
2008-01-02,factor_value,177811976.58536598
2008-01-02,stock,000582.SZ
2008-01-02,stock,000584.SZ
2008-01-02,stock,000585.SZ
2008-01-02,stock,000586.SZ
2008-01-02,stock,000587.SZ
2008-01-02,stock,000589.SZ
2008-01-02,stock,000590.SZ
2008-01-02,stock,000591.SZ
2008-01-02,stock,000592.SZ
2008-01-02,stock,000593.SZ
2008-01-02,stock,000594.SZ
2008-01-02,stock,000595.SZ
2008-01-02,stock,000596.SZ
2008-01-02,stock,000597.SZ
2008-01-02,stock,000598.SZ
2008-01-02,stock,000599.SZ
2008-01-02,stock,000600.SZ
2008-01-02,stock,000601.SZ
2008-01-02,stock,000602.SZ
2008-01-02,stock,000603.SZ
2008-01-02,stock,000605.SZ
2008-01-02,stock,000606.SZ
2008-01-02,stock,000607.SZ
2008-01-02,stock,000608.SZ
2008-01-02,stock,000609.SZ
2008-01-02,stock,000610.SZ
2008-01-02,stock,000611.SZ
2008-01-02,stock,000612.SZ
2008-01-02,factor_value,775242798.0
2008-01-02,stock,000613.SZ
2008-01-02,stock,000615.SZ
2008-01-02,stock,000616.SZ
2008-01-02,factor_value,293425723.0
2008-01-02,stock,000617.SZ
2008-01-02,factor_value,122274000.0
2008-01-02,stock,000619.SZ
2008-01-02,stock,000620.SZ
2008-01-02,stock,000622.SZ
2008-01-02,stock,000623.SZ
2008-01-02,stock,000625.SZ
2008-01-02,factor_value,740614342.0
2008-01-02,stock,000626.SZ
2008-01-02,stock,000627.SZ
2008-01-02,stock,000628.SZ
2008-01-02,stock,000629.SZ
2008-01-02,factor_value,1136967095.7946398
2008-01-02,stock,000630.SZ
2008-01-02,factor_value,871596746.0
2008-01-02,stock,000631.SZ
2008-01-02,stock,000632.SZ
2008-01-02,stock,000633.SZ
2008-01-02,stock,000635.SZ
2008-01-02,stock,000636.SZ
2008-01-02,stock,000637.SZ
2008-01-02,stock,000639.SZ
2008-01-02,stock,000650.SZ
2008-01-02,stock,000651.SZ
2008-01-02,factor_value,1012910000.0
2008-01-02,stock,000652.SZ
2008-01-02,stock,000655.SZ
2008-01-02,stock,000656.SZ
2008-01-02,stock,000657.SZ
2008-01-02,stock,000659.SZ
2008-01-02,stock,000661.SZ
2008-01-02,stock,000662.SZ
2008-01-02,stock,000663.SZ
2008-01-02,stock,000665.SZ
2008-01-02,stock,000666.SZ
2008-01-02,stock,000667.SZ
2008-01-02,stock,000668.SZ
2008-01-02,stock,000669.SZ
2008-01-02,stock,000670.SZ
2008-01-02,stock,000671.SZ
2008-01-02,stock,000672.SZ
2008-01-02,stock,000673.SZ
2008-01-02,stock,000676.SZ
