Date,stocks,factor
2008-01-02,WICI005230,
2008-01-02,WICI005231,
2008-01-02,WICI005232,
2008-01-02,WICI005233,
2008-01-02,WICI005234,
2008-01-02,WICI005235,
2008-01-02,WICI005236,
2008-01-02,WICI005237,
2008-01-02,WICI005238,
2008-01-02,WICI005240,
2008-01-02,WICI005241,
2008-01-02,WICI005242,
2008-01-02,WICI005243,
2008-01-02,WICI005244,
2008-01-02,WICI005245,
2008-01-02,WICI005246,
2008-01-02,WICI005247,
2008-01-02,WICI005248,
2008-01-02,WICI005249,
2008-01-02,WICI005250,
2008-01-02,WICI005251,
2008-01-02,WICI005252,
2008-01-02,WICI005253,
2008-01-02,WICI005254,
2008-01-02,WICI005255,
2008-01-02,WICI005256,
2008-01-02,WICI005257,
2008-01-02,WICI005258,
2008-01-02,WICI005259,
2008-01-02,WICI005260,
2008-01-02,WICI005261,
2008-01-02,WICI005262,
2008-01-02,WICI005263,
2008-01-02,WICI005264,
2008-01-02,WICI005265,
2008-01-02,WICI005266,
2008-01-02,WICI005267,
2008-01-02,WICI005268,
2008-01-02,WICI005269,
2008-01-02,WICI005270,
2008-01-02,WICI005271,
2008-01-02,WICI005272,
2008-01-02,WICI005273,
2008-01-02,WICI005274,
2008-01-02,WICI005275,
2008-01-02,WICI005276,
2008-01-02,WICI005277,
2008-01-02,WICI005278,
2008-01-02,WICI005279,
2008-01-02,WICI005280,
2008-01-02,WICI005281,
2008-01-02,WICI005282,
2008-01-02,WICI005283,
2008-01-02,WICI005284,
2008-01-02,WICI005285,
2008-01-02,WICI005286,
2008-01-02,WICI005287,
2008-01-02,WICI005288,
2008-01-02,WICI005289,
2008-01-02,WICI005291,
2008-01-02,WICI005292,
2008-01-02,WICI005293,
2008-01-02,WICI005294,
2008-01-02,WICI005295,
2008-01-02,WICI005296,
2008-01-02,WICI005297,
2008-01-02,WICI005298,
2008-01-02,WICI005299,
2008-01-02,WICI005300,
2008-01-02,WICI005301,
2008-01-02,WICI005302,
2008-01-02,WICI005303,
2008-01-02,WICI005304,
2008-01-02,WICI005305,
2008-01-02,WICI005306,
2008-01-02,WICI005307,
2008-01-02,WICI005308,
2008-01-02,WICI005309,
2008-01-02,WICI005310,
2008-01-02,WICI005316,
2008-01-02,WICI005317,
2008-01-02,WICI005318,
2008-01-02,WICI005319,
2008-01-02,WICI005320,
2008-01-02,WICI005321,
2008-01-02,WICI005322,
2008-01-02,WICI005323,
2008-01-02,WICI005324,
2008-01-02,WICI005325,
2008-01-02,WICI005326,
2008-01-02,WICI005327,
2008-01-02,WICI005328,
2008-01-02,WICI005329,
2008-01-02,WICI005330,
2008-01-02,WICI005331,
2008-01-02,WICI005332,
2008-01-02,WICI005333,
2008-01-02,WICI005334,
2008-01-02,WICI005335,
2008-01-02,WICI005336,
2008-01-02,WICI005337,
2008-01-02,WICI005338,
2008-01-02,WICI005339,
2008-01-02,WICI005340,
2008-01-02,WICI005341,
2008-01-02,WICI005342,
2008-01-02,WICI005343,
2008-01-02,WICI005344,
2008-01-02,WICI005345,
2008-01-02,WICI005346,
2008-01-02,WICI005347,
2008-01-02,WICI005348,
2008-01-02,WICI005349,
2008-01-02,WICI005350,
2008-01-02,WICI005351,
2008-01-02,WICI005352,
2008-01-02,WICI005353,
2008-01-02,WICI005354,
2008-01-02,WICI005355,
2008-01-02,WICI005356,
2008-01-02,WICI005357,
2008-01-02,WICI005358,
2008-01-02,WICI005359,
2008-01-02,WICI005360,
2008-01-02,WICI005361,
2008-01-02,WICI005362,
2008-01-02,WICI005363,
2008-01-02,WICI005364,
2008-01-02,WICI005366,
2008-01-02,WICI005367,
2008-01-02,WICI005368,
2008-01-02,WICI005369,
2008-01-02,WICI005370,
2008-01-02,WICI005371,
2008-01-02,WICI005372,
2008-01-02,WICI005373,
2008-01-02,WICI005374,
2008-01-02,WICI005375,
2008-01-02,WICI005376,
2008-01-02,WICI005377,
2008-01-02,WICI005378,
2008-01-02,WICI005379,
2008-01-02,WICI005380,
2008-01-02,WICI005381,
2008-01-02,WICI005382,
2008-01-02,WICI005383,
2008-01-02,WICI005384,
2008-01-02,WICI005385,
2008-01-02,WICI005386,
2008-01-02,WICI005387,
2008-01-02,WICI005388,
2008-01-02,WICI005389,
2008-01-02,WICI005390,
2008-01-02,WICI005391,
2008-01-02,WICI005392,
2008-01-02,WICI005393,
2008-01-02,WICI005394,
2008-01-02,WICI005395,
2008-01-02,SH000858,
2008-01-02,CSI000942,
2008-01-02,CSIH11025,
2008-01-02,SZ000001,2387800000.0
2008-01-02,SZ000002,4570430000.0
2008-01-02,SZ000004,
2008-01-02,SZ000005,
2008-01-02,SZ000006,
2008-01-02,SZ000007,
2008-01-02,SZ000008,
2008-01-02,SZ000009,
2008-01-02,SZ000010,
2008-01-02,SZ000011,
2008-01-02,SZ000012,526806082.0
2008-01-02,SZ000014,
2008-01-02,SZ000016,
2008-01-02,SZ000017,
2008-01-02,SZ000018,
2008-01-02,SZ000019,
2008-01-02,SZ000020,
2008-01-02,SZ000021,618982040.0
2008-01-02,SZ000022,
2008-01-02,SZ000023,
2008-01-02,SZ000024,955455623.2
2008-01-02,SZ000025,
2008-01-02,SZ000026,
2008-01-02,SZ000027,1319920000.0
2008-01-02,SZ000028,128289459.66635601
2008-01-02,SZ000029,
2008-01-02,SZ000030,
2008-01-02,SZ000031,
2008-01-02,SZ000032,
2008-01-02,SZ000033,
2008-01-02,SZ000034,
2008-01-02,SZ000035,
2008-01-02,SZ000036,
2008-01-02,SZ000037,
2008-01-02,SZ000038,
2008-01-02,SZ000039,2615523239.7894697
2008-01-02,SZ000040,
2008-01-02,SZ000042,
2008-01-02,SZ000043,
2008-01-02,SZ000045,
2008-01-02,SZ000046,
2008-01-02,SZ000048,
2008-01-02,SZ000049,
2008-01-02,SZ000050,96655237.12311468
2008-01-02,SZ000055,
2008-01-02,SZ000056,
2008-01-02,SZ000058,
2008-01-02,SZ000059,
2008-01-02,SZ000060,1323461707.4841402
2008-01-02,SZ000061,234522986.955152
2008-01-02,SZ000062,
2008-01-02,SZ000063,1238635232.0
2008-01-02,SZ000065,
2008-01-02,SZ000066,
2008-01-02,SZ000068,
2008-01-02,SZ000069,778940000.0
2008-01-02,SZ000070,
2008-01-02,SZ000078,
2008-01-02,SZ000088,648949448.0
2008-01-02,SZ000089,553684238.0
2008-01-02,SZ000090,
2008-01-02,SZ000096,
2008-01-02,SZ000099,
2008-01-02,SZ000100,175828856.0
2008-01-02,SZ000150,
2008-01-02,SZ000151,
2008-01-02,SZ000153,
2008-01-02,SZ000155,
2008-01-02,SZ000156,
2008-01-02,SZ000157,1147380860.0
2008-01-02,SZ000158,
2008-01-02,SZ000159,
2008-01-02,SZ000301,
2008-01-02,SZ000338,1928370000.0
2008-01-02,SZ000400,161073271.0
2008-01-02,SZ000401,421535438.15873
2008-01-02,SZ000402,743300000.0
2008-01-02,SZ000403,
2008-01-02,SZ000404,
2008-01-02,SZ000407,
2008-01-02,SZ000408,
2008-01-02,SZ000409,
2008-01-02,SZ000410,174244931.0
2008-01-02,SZ000411,
2008-01-02,SZ000413,
2008-01-02,SZ000415,
2008-01-02,SZ000416,
2008-01-02,SZ000417,
2008-01-02,SZ000418,
2008-01-02,SZ000419,
2008-01-02,SZ000420,
2008-01-02,SZ000421,
2008-01-02,SZ000422,
2008-01-02,SZ000423,205452551.135135
2008-01-02,SZ000425,
2008-01-02,SZ000426,
2008-01-02,SZ000428,
2008-01-02,SZ000429,
2008-01-02,SZ000430,
2008-01-02,SZ000488,917839154.033696
2008-01-02,SZ000498,
2008-01-02,SZ000501,
2008-01-02,SZ000502,
2008-01-02,SZ000503,
2008-01-02,SZ000504,
2008-01-02,SZ000505,
2008-01-02,SZ000506,
2008-01-02,SZ000507,
2008-01-02,SZ000509,
2008-01-02,SZ000510,
2008-01-02,SZ000511,
2008-01-02,SZ000513,
2008-01-02,SZ000514,
2008-01-02,SZ000515,
2008-01-02,SZ000516,
2008-01-02,SZ000517,
2008-01-02,SZ000518,
2008-01-02,SZ000519,
2008-01-02,SZ000520,
2008-01-02,SZ000521,
2008-01-02,SZ000522,141978729.2
2008-01-02,SZ000523,
2008-01-02,SZ000524,
2008-01-02,SZ000525,
2008-01-02,SZ000526,
2008-01-02,SZ000527,1224537506.2069
2008-01-02,SZ000528,584599084.2285709
2008-01-02,SZ000529,
2008-01-02,SZ000530,
2008-01-02,SZ000531,
2008-01-02,SZ000532,
2008-01-02,SZ000533,
2008-01-02,SZ000534,
2008-01-02,SZ000536,
2008-01-02,SZ000537,
2008-01-02,SZ000538,302445516.37333304
2008-01-02,SZ000539,803506094.0
2008-01-02,SZ000540,
2008-01-02,SZ000541,
2008-01-02,SZ000543,
2008-01-02,SZ000544,
2008-01-02,SZ000545,
2008-01-02,SZ000546,
2008-01-02,SZ000547,
2008-01-02,SZ000548,
2008-01-02,SZ000550,715730000.0
2008-01-02,SZ000551,
2008-01-02,SZ000552,
2008-01-02,SZ000553,
2008-01-02,SZ000554,
2008-01-02,SZ000555,
2008-01-02,SZ000557,
2008-01-02,SZ000558,
2008-01-02,SZ000559,304233242.0
2008-01-02,SZ000560,
2008-01-02,SZ000561,
2008-01-02,SZ000562,2471815634.0
2008-01-02,SZ000563,
2008-01-02,SZ000564,
2008-01-02,SZ000565,36673932.885517105
2008-01-02,SZ000566,
2008-01-02,SZ000567,
2008-01-02,SZ000568,800860000.0
2008-01-02,SZ000569,
2008-01-02,SZ000570,
2008-01-02,SZ000571,
2008-01-02,SZ000572,
2008-01-02,SZ000573,
2008-01-02,SZ000576,
2008-01-02,SZ000578,
2008-01-02,SZ000581,177811976.58536598
2008-01-02,SZ000582,
2008-01-02,SZ000584,
2008-01-02,SZ000585,
2008-01-02,SZ000586,
2008-01-02,SZ000587,
2008-01-02,SZ000589,
2008-01-02,SZ000590,
2008-01-02,SZ000591,
2008-01-02,SZ000592,
2008-01-02,SZ000593,
2008-01-02,SZ000594,
2008-01-02,SZ000595,
2008-01-02,SZ000596,
2008-01-02,SZ000597,
2008-01-02,SZ000598,
2008-01-02,SZ000599,
2008-01-02,SZ000600,
2008-01-02,SZ000601,
2008-01-02,SZ000602,
2008-01-02,SZ000603,
2008-01-02,SZ000605,
2008-01-02,SZ000606,
2008-01-02,SZ000607,
2008-01-02,SZ000608,
2008-01-02,SZ000609,
2008-01-02,SZ000610,
2008-01-02,SZ000611,
2008-01-02,SZ000612,775242798.0
2008-01-02,SZ000613,
2008-01-02,SZ000615,
2008-01-02,SZ000616,293425723.0
2008-01-02,SZ000617,122274000.0
2008-01-02,SZ000619,
2008-01-02,SZ000620,
2008-01-02,SZ000622,
2008-01-02,SZ000623,
2008-01-02,SZ000625,740614342.0
2008-01-02,SZ000626,
2008-01-02,SZ000627,
2008-01-02,SZ000628,
2008-01-02,SZ000629,1136967095.7946398
2008-01-02,SZ000630,871596746.0
2008-01-02,SZ000631,
2008-01-02,SZ000632,
2008-01-02,SZ000633,
2008-01-02,SZ000635,
2008-01-02,SZ000636,
2008-01-02,SZ000637,
2008-01-02,SZ000639,
2008-01-02,SZ000650,
2008-01-02,SZ000651,1012910000.0
2008-01-02,SZ000652,
2008-01-02,SZ000655,
2008-01-02,SZ000656,
2008-01-02,SZ000657,
2008-01-02,SZ000659,
2008-01-02,SZ000661,
2008-01-02,SZ000662,
2008-01-02,SZ000663,
2008-01-02,SZ000665,
2008-01-02,SZ000666,
2008-01-02,SZ000667,
2008-01-02,SZ000668,
2008-01-02,SZ000669,
2008-01-02,SZ000670,
2008-01-02,SZ000671,
2008-01-02,SZ000672,
2008-01-02,SZ000673,
2008-01-02,SZ000676,
2008-01-02,SZ000677,256625285.35172403
2008-01-02,SZ000678,
2008-01-02,SZ000679,
2008-01-02,SZ000680,468671771.2
2008-01-02,SZ000681,
2008-01-02,SZ000682,
2008-01-02,SZ000683,
2008-01-02,SZ000685,
2008-01-02,SZ000686,1315632132.0
2008-01-02,SZ000687,
2008-01-02,SZ000688,
2008-01-02,SZ000690,
2008-01-02,SZ000691,
2008-01-02,SZ000692,
2008-01-02,SZ000693,
2008-01-02,SZ000695,
2008-01-02,SZ000697,
2008-01-02,SZ000698,
2008-01-02,SZ000700,
2008-01-02,SZ000701,
2008-01-02,SZ000702,
2008-01-02,SZ000703,
2008-01-02,SZ000705,
2008-01-02,SZ000707,
2008-01-02,SZ000708,
2008-01-02,SZ000709,
2008-01-02,SZ000710,
2008-01-02,SZ000711,
2008-01-02,SZ000712,
2008-01-02,SZ000713,
2008-01-02,SZ000715,
2008-01-02,SZ000716,
2008-01-02,SZ000717,
2008-01-02,SZ000718,
2008-01-02,SZ000719,
2008-01-02,SZ000720,
2008-01-02,SZ000721,
2008-01-02,SZ000722,
2008-01-02,SZ000723,
2008-01-02,SZ000725,868339259.0
2008-01-02,SZ000726,
2008-01-02,SZ000727,
2008-01-02,SZ000728,1993248902.4411907
2008-01-02,SZ000729,395844590.5714291
2008-01-02,SZ000731,
2008-01-02,SZ000732,
2008-01-02,SZ000733,
2008-01-02,SZ000735,
2008-01-02,SZ000736,
2008-01-02,SZ000737,
2008-01-02,SZ000738,
2008-01-02,SZ000739,
2008-01-02,SZ000748,
2008-01-02,SZ000750,
2008-01-02,SZ000751,
2008-01-02,SZ000752,
2008-01-02,SZ000753,
2008-01-02,SZ000755,357778495.93333304
2008-01-02,SZ000756,
2008-01-02,SZ000757,
2008-01-02,SZ000758,
2008-01-02,SZ000759,122614471.0
2008-01-02,SZ000760,
2008-01-02,SZ000761,
2008-01-02,SZ000762,
2008-01-02,SZ000766,
2008-01-02,SZ000767,537280867.0
2008-01-02,SZ000768,
2008-01-02,SZ000776,
2008-01-02,SZ000777,
2008-01-02,SZ000778,
2008-01-02,SZ000779,
2008-01-02,SZ000780,
2008-01-02,SZ000782,
2008-01-02,SZ000783,2328187692.3076897
2008-01-02,SZ000785,
2008-01-02,SZ000786,
2008-01-02,SZ000788,
2008-01-02,SZ000789,
2008-01-02,SZ000790,
2008-01-02,SZ000791,
2008-01-02,SZ000792,1109586316.68293
2008-01-02,SZ000793,179141174.868148
2008-01-02,SZ000795,
2008-01-02,SZ000796,
2008-01-02,SZ000797,
2008-01-02,SZ000798,
2008-01-02,SZ000799,
2008-01-02,SZ000800,596478271.428571
2008-01-02,SZ000801,
2008-01-02,SZ000802,
2008-01-02,SZ000803,
2008-01-02,SZ000806,
2008-01-02,SZ000807,622483076.923077
2008-01-02,SZ000809,
2008-01-02,SZ000810,
2008-01-02,SZ000811,
2008-01-02,SZ000812,
2008-01-02,SZ000813,
2008-01-02,SZ000815,48280279.31691881
2008-01-02,SZ000816,
2008-01-02,SZ000818,
2008-01-02,SZ000819,
2008-01-02,SZ000820,
2008-01-02,SZ000821,
2008-01-02,SZ000822,
2008-01-02,SZ000823,
2008-01-02,SZ000825,4863329819.03448
2008-01-02,SZ000826,
2008-01-02,SZ000828,
2008-01-02,SZ000829,
2008-01-02,SZ000830,
2008-01-02,SZ000831,305428466.286331
2008-01-02,SZ000833,
2008-01-02,SZ000835,
2008-01-02,SZ000836,
2008-01-02,SZ000837,
2008-01-02,SZ000838,
2008-01-02,SZ000839,349668555.555556
2008-01-02,SZ000848,
2008-01-02,SZ000850,
2008-01-02,SZ000851,
2008-01-02,SZ000852,
2008-01-02,SZ000856,
2008-01-02,SZ000858,1771210000.0
2008-01-02,SZ000859,
2008-01-02,SZ000860,
2008-01-02,SZ000861,
2008-01-02,SZ000862,
2008-01-02,SZ000863,
2008-01-02,SZ000868,
2008-01-02,SZ000869,613260000.0
2008-01-02,SZ000875,
2008-01-02,SZ000876,
2008-01-02,SZ000877,
2008-01-02,SZ000878,
2008-01-02,SZ000880,
2008-01-02,SZ000881,
2008-01-02,SZ000882,
2008-01-02,SZ000883,
2008-01-02,SZ000885,
2008-01-02,SZ000886,
2008-01-02,SZ000887,
2008-01-02,SZ000888,51228080.0
2008-01-02,SZ000889,
2008-01-02,SZ000890,
2008-01-02,SZ000892,
2008-01-02,SZ000893,
2008-01-02,SZ000895,543740000.0
2008-01-02,SZ000897,
2008-01-02,SZ000898,8676120331.04762
2008-01-02,SZ000899,
2008-01-02,SZ000900,538176800.866667
2008-01-02,SZ000901,
2008-01-02,SZ000902,
2008-01-02,SZ000903,
2008-01-02,SZ000905,
2008-01-02,SZ000906,
2008-01-02,SZ000908,
2008-01-02,SZ000909,
2008-01-02,SZ000910,
2008-01-02,SZ000911,108829628.571429
2008-01-02,SZ000912,
2008-01-02,SZ000913,
2008-01-02,SZ000915,
2008-01-02,SZ000916,
2008-01-02,SZ000917,91804576.0838182
2008-01-02,SZ000918,
2008-01-02,SZ000919,
2008-01-02,SZ000920,
2008-01-02,SZ000921,
2008-01-02,SZ000922,
2008-01-02,SZ000923,
2008-01-02,SZ000925,
2008-01-02,SZ000926,
2008-01-02,SZ000927,276715745.333333
2008-01-02,SZ000928,
2008-01-02,SZ000929,
2008-01-02,SZ000930,
2008-01-02,SZ000931,
2008-01-02,SZ000932,
2008-01-02,SZ000933,901155492.0
2008-01-02,SZ000935,
2008-01-02,SZ000936,
2008-01-02,SZ000937,
2008-01-02,SZ000938,
2008-01-02,SZ000939,
2008-01-02,SZ000948,
2008-01-02,SZ000949,
2008-01-02,SZ000950,
2008-01-02,SZ000951,675401172.0238099
2008-01-02,SZ000952,
2008-01-02,SZ000953,
2008-01-02,SZ000955,
2008-01-02,SZ000957,
2008-01-02,SZ000958,
2008-01-02,SZ000959,
2008-01-02,SZ000960,663276935.207279
2008-01-02,SZ000961,
2008-01-02,SZ000962,
2008-01-02,SZ000963,164791111.11111102
2008-01-02,SZ000965,
2008-01-02,SZ000966,
2008-01-02,SZ000967,
2008-01-02,SZ000968,
2008-01-02,SZ000969,129586671.0
2008-01-02,SZ000970,
2008-01-02,SZ000971,
2008-01-02,SZ000972,103999974.857143
2008-01-02,SZ000973,
2008-01-02,SZ000975,
2008-01-02,SZ000976,
2008-01-02,SZ000977,
2008-01-02,SZ000978,57401100.0
2008-01-02,SZ000979,
2008-01-02,SZ000980,
2008-01-02,SZ000981,
2008-01-02,SZ000982,
2008-01-02,SZ000983,1112082438.0
2008-01-02,SZ000985,
2008-01-02,SZ000987,173713074.79999998
2008-01-02,SZ000988,
2008-01-02,SZ000989,
2008-01-02,SZ000990,
2008-01-02,SZ000993,
2008-01-02,SZ000995,
2008-01-02,SZ000996,
2008-01-02,SZ000997,94979783.0
2008-01-02,SZ000998,
2008-01-02,SZ000999,
2008-01-02,SZ001696,
2008-01-02,SZ001896,
2008-01-02,SZ002001,57333333.0
2008-01-02,SZ002002,
2008-01-02,SZ002003,101150667.0
2008-01-02,SZ002004,
2008-01-02,SZ002005,
2008-01-02,SZ002006,
2008-01-02,SZ002007,110602889.0
2008-01-02,SZ002008,187260459.22936404
2008-01-02,SZ002009,
2008-01-02,SZ002010,
2008-01-02,SZ002011,
2008-01-02,SZ002012,
2008-01-02,SZ002013,
2008-01-02,SZ002014,
2008-01-02,SZ002015,
2008-01-02,SZ002016,
2008-01-02,SZ002017,
2008-01-02,SZ002018,71588823.52941181
2008-01-02,SZ002019,
2008-01-02,SZ002020,
2008-01-02,SZ002021,
2008-01-02,SZ002022,117910583.33333302
2008-01-02,SZ002023,
2008-01-02,SZ002024,1371071325.7142901
2008-01-02,SZ002025,
2008-01-02,SZ002026,
2008-01-02,SZ002027,
2008-01-02,SZ002028,255349103.44827598
2008-01-02,SZ002029,81808653.0
2008-01-02,SZ002030,
2008-01-02,SZ002031,
2008-01-02,SZ002032,175090659.25925902
2008-01-02,SZ002033,55297961.00000001
2008-01-02,SZ002034,
2008-01-02,SZ002035,
2008-01-02,SZ002036,
2008-01-02,SZ002037,
2008-01-02,SZ002038,110520888.88888898
2008-01-02,SZ002039,
2008-01-02,SZ002040,
2008-01-02,SZ002041,
2008-01-02,SZ002042,
2008-01-02,SZ002043,
2008-01-02,SZ002044,
2008-01-02,SZ002045,69539966.0
2008-01-02,SZ002046,
2008-01-02,SZ002047,
2008-01-02,SZ002048,
2008-01-02,SZ002049,
2008-01-02,SZ002050,47601052.63157901
2008-01-02,SZ002051,
2008-01-02,SZ002052,
2008-01-02,SZ002053,
2008-01-02,SZ002054,
2008-01-02,SZ002055,
2008-01-02,SZ002056,181958795.00000003
2008-01-02,SZ002057,
2008-01-02,SZ002058,
2008-01-02,SZ002059,
2008-01-02,SZ002060,
2008-01-02,SZ002061,
2008-01-02,SZ002062,
2008-01-02,SZ002063,
2008-01-02,SZ002064,
2008-01-02,SZ002065,
2008-01-02,SZ002066,
2008-01-02,SZ002067,99279936.0
2008-01-02,SZ002068,81315444.44444442
2008-01-02,SZ002069,178038400.0
2008-01-02,SZ002070,55477368.00000001
2008-01-02,SZ002071,
2008-01-02,SZ002072,
2008-01-02,SZ002073,
2008-01-02,SZ002074,
2008-01-02,SZ002075,
2008-01-02,SZ002076,
2008-01-02,SZ002077,
2008-01-02,SZ002078,359092722.99999994
2008-01-02,SZ002079,
2008-01-02,SZ002080,
2008-01-02,SZ002081,87244715.15151519
2008-01-02,SZ002082,
2008-01-02,SZ002083,167903096.241905
2008-01-02,SZ002084,
2008-01-02,SZ002085,
2008-01-02,SZ002086,
2008-01-02,SZ002087,
2008-01-02,SZ002088,
2008-01-02,SZ002089,
2008-01-02,SZ002090,
2008-01-02,SZ002091,
2008-01-02,SZ002092,
2008-01-02,SZ002093,
2008-01-02,SZ002094,
2008-01-02,SZ002095,
2008-01-02,SZ002096,
2008-01-02,SZ002097,164710815.0
2008-01-02,SZ002098,
2008-01-02,SZ002099,
2008-01-02,SZ002100,
2008-01-02,SZ002101,
2008-01-02,SZ002102,
2008-01-02,SZ002103,
2008-01-02,SZ002104,
2008-01-02,SZ002105,
2008-01-02,SZ002106,248293902.828381
2008-01-02,SZ002107,
2008-01-02,SZ002108,
2008-01-02,SZ002109,
2008-01-02,SZ002110,
2008-01-02,SZ002111,
2008-01-02,SZ002112,
2008-01-02,SZ002113,
2008-01-02,SZ002114,
2008-01-02,SZ002115,
2008-01-02,SZ002116,
2008-01-02,SZ002117,
2008-01-02,SZ002118,
2008-01-02,SZ002119,
2008-01-02,SZ002120,
2008-01-02,SZ002121,
2008-01-02,SZ002122,262974861.538462
2008-01-02,SZ002123,84991272.72727272
2008-01-02,SZ002124,
2008-01-02,SZ002125,
2008-01-02,SZ002126,
2008-01-02,SZ002127,
2008-01-02,SZ002128,
2008-01-02,SZ002129,105749988.64755799
2008-01-02,SZ002130,
2008-01-02,SZ002131,
2008-01-02,SZ002132,
2008-01-02,SZ002133,
2008-01-02,SZ002134,
2008-01-02,SZ002135,
2008-01-02,SZ002136,
2008-01-02,SZ002137,
2008-01-02,SZ002138,55471667.00000001
2008-01-02,SZ002139,
2008-01-02,SZ002140,
2008-01-02,SZ002141,
2008-01-02,SZ002142,893450000.0
2008-01-02,SZ002143,
2008-01-02,SZ002144,
2008-01-02,SZ002145,
2008-01-02,SZ002146,
2008-01-02,SZ002147,
2008-01-02,SZ002148,
2008-01-02,SZ002149,
2008-01-02,SZ002150,
2008-01-02,SZ002151,
2008-01-02,SZ002152,204822380.95238096
2008-01-02,SZ002153,78761936.0
2008-01-02,SZ002154,71297778.00000001
2008-01-02,SZ002155,
2008-01-02,SZ002156,
2008-01-02,SZ002157,
2008-01-02,SZ002158,
2008-01-02,SZ002159,
2008-01-02,SZ002160,
2008-01-02,SZ002161,
2008-01-02,SZ002162,
2008-01-02,SZ002163,
2008-01-02,SZ002164,
2008-01-02,SZ002165,
2008-01-02,SZ002166,
2008-01-02,SZ002167,
2008-01-02,SZ002168,
2008-01-02,SZ002169,
2008-01-02,SZ002170,
2008-01-02,SZ002171,
2008-01-02,SZ002172,
2008-01-02,SZ002173,
2008-01-02,SZ002174,
2008-01-02,SZ002175,
2008-01-02,SZ002176,
2008-01-02,SZ002177,65684315.00000001
2008-01-02,SZ002178,28273528.947368395
2008-01-02,SZ002179,84228711.0
2008-01-02,SZ002180,43828110.71428571
2008-01-02,SZ002181,75579006.9230769
2008-01-02,SZ002182,76592738.0
2008-01-02,SZ002183,133623778.947368
2008-01-02,SZ002184,57072950.0
2008-01-02,SZ002185,77783018.1818182
2008-01-02,SZ002186,60881121.73913039
2008-01-02,SZ002187,122482084.615385
2008-01-02,SZ002188,34258181.818181805
2008-01-02,SZ002189,42807072.727272704
2008-01-02,SZ002190,34744073.91304351
2008-01-02,SZ002191,168970000.0
2008-01-02,SZ002192,26843918.000000004
2008-01-02,SZ002193,41352831.00000001
2008-01-02,SZ002194,199536100.64516103
2008-01-02,SZ002195,26288486.2068966
2008-01-02,SZ002196,31262244.444444396
2008-01-02,SZ002197,41553086.31578951
2008-01-02,SZ002198,23371681.0810811
2008-01-02,SZ002199,27030167.0
2008-01-02,SZ002200,58025367.74193551
2008-01-02,SZ002201,34626685.7142857
2008-01-02,SZ002202,606235689.0
2008-01-02,SH600000,5492100000.0
2008-01-02,SH600001,1104434737.7142901
2008-01-02,SH600003,
2008-01-02,SH600004,402887159.375
2008-01-02,SH600005,6719043915.789471
2008-01-02,SH600006,547793817.391304
2008-01-02,SH600007,
2008-01-02,SH600008,
2008-01-02,SH600009,1707790000.0
2008-01-02,SH600010,
2008-01-02,SH600011,6281333859.0
2008-01-02,SH600012,647960000.0
2008-01-02,SH600015,2510550000.0
2008-01-02,SH600016,6173390000.0
2008-01-02,SH600017,171558545.454545
2008-01-02,SH600018,3665410000.0
2008-01-02,SH600019,14344820000.0
2008-01-02,SH600020,
2008-01-02,SH600021,
2008-01-02,SH600022,1728817919.9999998
